"Make","Price","Year","Kilometer","Fuel Type","Transmission","Owner","Seller Type","Engine","Power","Torque","Drivetrain","Length","Width","Height","SeatingCapacity","TankCapacity"
"Hyundai",450000,2016,53.3,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Honda",840000,2019,34,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Mercedes-Benz",18500000,2021,21,"Petrol","Automatic","First","Individual",3982,463,700,"RWD",5462,1899,1498,">5",70
"Land Rover",4e+06,2017,25.5,"Diesel","Automatic","Second","Individual",1999,177,430,"AWD",4360,2120,1635,"5",57
"Mahindra",690000,2015,157.662,"Diesel","Manual","Second","Individual",1997,138,320,"FWD",4585,1890,1785,"<5",70
"Mercedes-Benz",2800000,2018,20,"Diesel","Automatic","First","Individual",2143,136,300,"FWD",4630,1777,1432,"5",56
"Hyundai",525000,2018,78.9,"Diesel","Manual","First","Individual",1120,71,160,"FWD",3995,1660,1520,"5",43
"Maruti Suzuki",285000,2011,52,"Other","Manual","First","Individual",998,59,77,"FWD",3539,1475,1700,"5",35
"Mercedes-Benz",7780000,2022,11,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",5063,1860,1494,"5",80
"Skoda",1989999,2018,103,"Diesel","Automatic","First","Individual",1693,130,246,"FWD",4697,1882,1665,"<5",63
"Tata",1200000,2017,95.785,"Diesel","Automatic","First","Individual",2179,154,400,"RWD",4788,1903,1791,"<5",60
"Ford",620000,2017,92,"Diesel","Manual","First","Individual",1498,99,205,"FWD",3998,1765,1647,"5",52
"Jaguar",5200000,2019,43,"Diesel","Automatic","First","Individual",1999,177,430,"AWD",4731,2071,1651,"5",82
"Mercedes-Benz",1998999,2017,39.328,"Diesel","Automatic","First","Individual",2143,134,300,"FWD",4630,1777,1432,"5",56
"Toyota",2725000,2020,18.625,"Diesel","Automatic","First","Individual",2393,148,360,"RWD",4735,1830,1795,"<5",55
"Maruti Suzuki",590000,2019,26,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"MINI",1489000,2014,81,"Diesel","Automatic","Second","Individual",1995,112,270,"FWD",4097,1789,1561,"5",47
"Maruti Suzuki",685000,2018,92,"Diesel","Automatic","First","Individual",1248,74,190,"FWD",3995,1735,1515,"5",37
"Mahindra",1121000,2019,38,"Diesel","Manual","First","Individual",2523,75,200,"RWD",4456,1820,1930,"<5",60
"Tata",114999,2012,93,"Petrol","Manual","Second","Individual",1368,90,116,"FWD",4413,1703,1550,"5",44
"Maruti Suzuki",545000,2019,10.34,"Petrol","Manual","First","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"Audi",1350000,2015,47.706,"Diesel","Automatic","First","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Maruti Suzuki",1299000,2021,13.4,"Petrol","Manual","First","Individual",1462,103,138,"FWD",4445,1775,1700,"<5",45
"Ford",450000,2016,44.613,"Diesel","Manual","First","Individual",1498,99,215,"FWD",3995,1695,1525,"5",40
"Porsche",9e+06,2017,7,"Petrol","Automatic","First","Individual",1988,295,380,"RWD",4379,1801,1295,">5",54
"Maruti Suzuki",550000,2019,29,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"BMW",4390000,2020,23,"Diesel","Automatic","First","Corporate",1995,188,400,"RWD",4633,1811,1429,"5",57
"Maruti Suzuki",445000,2015,67.58,"Other","Manual","First","Individual",998,58,77,"FWD",3599,1495,1700,"5",35
"Hyundai",495000,2015,42,"Petrol","Manual","First","Individual",1591,121,155,"FWD",4375,1700,1475,"5",43
"Hyundai",360000,2015,16.205,"Petrol","Manual","First","Individual",998,68,94,"FWD",3515,1550,1510,"5",32
"Maruti Suzuki",345000,2007,92,"Petrol","Automatic","Third or more","Individual",1995,120,170,"AWD",4470,1810,1695,"5",66
"Hyundai",565000,2016,29,"Petrol","Automatic","First","Individual",1197,79,112,"FWD",3765,1660,1520,"5",43
"Mercedes-Benz",9390000,2022,14,"Diesel","Automatic","First","Individual",1950,241,500,"AWD",4924,2157,1772,"5",93
"Mahindra",615000,2017,69,"Diesel","Automatic","First","Individual",1493,100,240,"RWD",3995,1835,1839,"<5",60
"Honda",525000,2015,114.635,"Diesel","Manual","First","Individual",1498,99,200,"FWD",4440,1695,1495,"5",40
"BMW",2650000,2018,50,"Diesel","Automatic","Second","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"BMW",3785000,2019,29.221,"Diesel","Automatic","First","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"Audi",1175000,2012,77,"Diesel","Automatic","Second","Individual",1968,177,380,"FWD",4915,1874,1455,"5",65
"Mercedes-Benz",6400000,2022,5.5,"Diesel","Automatic","UnRegistered Car","Individual",1950,192,400,"AWD",4658,1890,1644,"5",66
"BMW",1450000,2013,70,"Diesel","Automatic","Second","Individual",1995,184,380,"RWD",4624,2031,1429,"5",60
"BMW",4900000,2017,65.341,"Diesel","Automatic","Second","Individual",2993,258,560,"AWD",4886,1938,1762,"5",52
"Honda",1390000,2022,32,"Petrol","Automatic","First","Individual",1498,119,145,"FWD",4549,1748,1489,"5",40
"Ferrari",3.5e+07,2018,9.5,"Petrol","Automatic","First","Individual",3902,660,760,"RWD",4568,1952,1213,">5",78
"Volkswagen",2990000,2020,17.904,"Diesel","Automatic","First","Individual",1968,141,340,"AWD",4486,1839,1672,"5",71
"Land Rover",2150000,2012,95,"Diesel","Automatic","First","Individual",2179,190,420,"AWD",4355,2120,1635,"5",57
"Maruti Suzuki",315000,2013,72,"Other","Manual","First","Individual",998,59,77,"FWD",3539,1475,1700,"5",35
"Honda",295000,2012,66.24,"Petrol","Manual","Third or more","Individual",1693,130,246,"FWD",4280.86065162907,1767.99197994987,1591.73533834586,"5",52
"Mercedes-Benz",8500000,2018,25.275,"Petrol","Automatic","First","Individual",2996,362,520,"AWD",4891,2003,1719,"5",93
"Maruti Suzuki",4e+05,2016,67.85,"Other","Manual","First","Individual",998,58,77,"FWD",3599,1495,1700,"5",35
"Tata",49000,2010,60,"Petrol","Manual","First","Individual",624,35,48,"RWD",3099,1495,1652,">5",15
"Maruti Suzuki",610000,2017,105,"Diesel","Manual","First","Corporate",1248,74,190,"FWD",3850,1695,1530,"5",42
"Hyundai",1075000,2019,45,"Petrol","Automatic","First","Individual",1591,122,151,"FWD",4270,1780,1665,"5",55
"Mercedes-Benz",7500000,2021,8,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",5063,1860,1494,"5",80
"Toyota",1321000,2018,38,"Petrol","Automatic","First","Corporate",1798,138,173,"FWD",4620,1775,1475,"5",55
"Maruti Suzuki",950000,2020,55.055,"Diesel","Manual","First","Individual",1248,89,200,"FWD",4300,1785,1595,"5",48
"Maruti Suzuki",825000,2021,22,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Mitsubishi",1300000,2013,95,"Diesel","Manual","Second","Individual",2477,176,400,"AWD",4695,1815,1840,"<5",70
"Maruti Suzuki",465000,2014,25.704,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3850,1695,1530,"5",42
"Maruti Suzuki",475000,2016,55.353,"Diesel","Manual","Second","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Audi",1775000,2015,80,"Diesel","Automatic","First","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Volkswagen",825000,2018,62,"Petrol","Automatic","First","Corporate",1197,103,175,"FWD",4390,1699,1467,"5",55
"Ford",3450000,2019,41.526,"Diesel","Automatic","First","Individual",3198,197,470,"AWD",4892,1860,1837,"<5",80
"Tata",379000,2018,29.434,"Petrol","Manual","Second","Individual",1047,69,140,"FWD",3746,1647,1535,"5",35
"Datsun",240000,2017,42,"Petrol","Manual","First","Individual",1198,67,104,"FWD",3785,1635,1485,"5",35
"Kia",1525000,2021,14,"Petrol","Manual","First","Individual",1497,114,144,"FWD",4315,1800,1645,"5",50
"BMW",1400000,2014,35,"Diesel","Automatic","First","Individual",1995,184,380,"RWD",4624,2031,1429,"5",60
"Lamborghini",2.4e+07,2016,6,"Petrol","Automatic","First","Individual",5204,602,560,"AWD",4459,1924,1165,">5",52
"Mercedes-Benz",2450000,2018,61,"Diesel","Automatic","Second","Individual",2143,134,300,"FWD",4424,1804,1494,"5",50
"Mercedes-Benz",1789999,2015,45,"Diesel","Automatic","First","Individual",2143,134,300,"FWD",4417,1804,1494,"5",50
"Mercedes-Benz",4275000,2019,31,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",4686,1810,1442,"5",66
"Hyundai",775000,2020,39,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3995,1775,1505,"5",37
"Maruti Suzuki",229999,2012,52,"Petrol","Manual","First","Individual",998,67,90,"FWD",3600,1495,1595,"5",35
"Maruti Suzuki",280000,2011,54,"Other","Manual","First","Individual",998,59,77,"FWD",3539,1475,1700,"5",35
"Hyundai",3e+05,2018,51,"Petrol","Manual","First","Individual",814,55,75,"FWD",3495,1550,1500,"5",32
"Maruti Suzuki",160000,2011,72,"Petrol","Manual","First","Individual",998,67,90,"FWD",3545,1490,1475,"5",35
"Maruti Suzuki",150000,2011,65,"Petrol","Manual","First","Individual",796,47,62,"FWD",3495,1475,1460,"5",35
"Mercedes-Benz",8300000,2020,50,"Diesel","Automatic","First","Individual",1950,241,500,"AWD",4924,2157,1772,"5",93
"Audi",1685000,2016,80.251,"Diesel","Automatic","Second","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Hyundai",270000,2010,86,"Petrol","Manual","Second","Individual",1197,80,111,"FWD",3565,1595,1550,"5",35
"Maruti Suzuki",210000,2014,42.505,"Petrol","Manual","First","Individual",796,47,69,"FWD",3395,1490,1475,"5",35
"Hyundai",625000,2017,42,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"BMW",6900000,2017,42.2,"Diesel","Automatic","First","Individual",2993,262,620,"RWD",5219,1902,1481,">5",78
"Kia",1490000,2019,57.6,"Petrol","Automatic","First","Individual",1353,138,242,"FWD",4315,1800,1645,"5",50
"Mahindra",1095000,2018,57,"Diesel","Manual","First","Individual",2179,153,360,"FWD",4585,1890,1785,"<5",70
"Ford",850000,2014,85,"Diesel","Automatic","First","Individual",2953,154,380,"AWD",5060,1788,1826,"<5",71
"Hyundai",1600000,2016,128,"Diesel","Automatic","Second","Corporate",1995,182,400,"FWD",4475,1850,1660,"5",62
"Toyota",265000,2011,66,"Petrol","Manual","First","Individual",1496,80,132,"FWD",4265,1695,1510,"5",45
"Volkswagen",360000,2013,58,"Petrol","Manual","First","Individual",1598,103,153,"FWD",4384,1699,1466,"5",55
"Maruti Suzuki",350000,2012,89.445,"Diesel","Manual","First","Individual",1248,75,190,"FWD",3715,1680,1620,"5",43
"Toyota",1485000,2015,64.12,"Diesel","Manual","Second","Individual",2982,169,343,"RWD",4705,1840,1850,"<5",80
"Maruti Suzuki",8e+05,2017,82.3,"Petrol","Manual","First","Individual",1373,91,130,"FWD",4490,1730,1485,"5",43
"Maruti Suzuki",710000,2017,73,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Maruti Suzuki",710000,2018,72,"Diesel","Manual","First","Individual",1598,118,320,"FWD",4300,1765,1590,"5",48
"Volkswagen",720000,2018,50.197,"Petrol","Manual","First","Individual",999,75,95,"FWD",3971,1682,1469,"5",45
"Honda",395000,2014,44.527,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3990,1680,1505,"5",35
"Audi",2799000,2017,72.4,"Diesel","Automatic","First","Individual",1968,188,400,"FWD",4726,1842,1427,"5",54
"Ford",455000,2014,50,"Petrol","Manual","Second","Individual",1499,109,140,"FWD",3999,1765,1708,"5",52
"Honda",690000,2014,37,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Mercedes-Benz",1.3e+07,2021,20,"Diesel","Automatic","First","Individual",2925,326,700,"AWD",5207,2157,1823,"<5",90
"Tata",1995000,2020,8,"Diesel","Automatic","First","Individual",1956,168,350,"FWD",4598,1894,1706,"5",50
"BMW",1750000,2014,69,"Diesel","Automatic","Second","Individual",1995,190,400,"RWD",4899,2094,1464,"5",65
"BMW",2900000,2019,25,"Diesel","Automatic","First","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"BMW",4500000,2022,17,"Diesel","Automatic","First","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"Honda",450000,2013,61,"Petrol","Manual","First","Individual",1497,116,146,"FWD",4440,1695,1485,"5",42
"BMW",2149000,2015,69,"Diesel","Automatic","First","Individual",1995,188,400,"RWD",4936,1868,1479,"5",65
"Mercedes-Benz",4200000,2015,77,"Diesel","Automatic","Second","Individual",2987,258,619,"AWD",5120,1934,1850,"<5",100
"Tata",860000,2018,82.2,"Diesel","Manual","First","Individual",1497,108,260,"FWD",3994,1811,1607,"5",44
"Honda",875000,2018,28,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Mahindra",580000,2011,117,"Diesel","Manual","Second","Individual",2179,122,290,"AWD",4430,1817,1975,"<5",60
"MG",3500000,2021,7.9,"Diesel","Automatic","First","Individual",1996,215,480,"AWD",4985,1926,1867,"<5",75
"Maruti Suzuki",229999,2010,72,"Petrol","Manual","First","Individual",1298,87,113,"FWD",4160,1690,1530,"5",43
"Audi",1513000,2015,79,"Diesel","Automatic","Second","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Maruti Suzuki",234000,2013,72.6,"Petrol","Manual","First","Individual",998,67,90,"FWD",3620,1475,1460,"5",35
"Datsun",320000,2018,42.313,"Petrol","Automatic","Second","Individual",999,67,91,"FWD",3429,1560,1541,"5",28
"BMW",5975000,2021,18,"Diesel","Automatic","First","Individual",1995,190,400,"AWD",4657,1881,1678,"5",67
"Maruti Suzuki",1025000,2019,90,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Maruti Suzuki",169000,2010,18.5,"Petrol","Manual","First","Individual",796,47,62,"FWD",3495,1475,1460,"5",35
"Maruti Suzuki",630000,2017,36,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1735,1515,"5",37
"Hyundai",1090000,2020,26.2,"Petrol","Automatic","First","Individual",998,118,172,"FWD",3995,1770,1605,"5",45
"Maruti Suzuki",7e+05,2019,11,"Petrol","Manual","Second","Individual",1197,82,113,"FWD",3840,1735,1530,"5",37
"Maruti Suzuki",661000,2021,14.366,"Petrol","Manual","First","Individual",1197,89,113,"FWD",3845,1735,1530,"5",37
"Tata",250999,2011,98,"Diesel","Manual","First","Individual",2179,120,250,"FWD",4421,1780,1940,"<5",65
"Mahindra",565000,2017,65,"Diesel","Manual","Second","Individual",1493,84,230,"RWD",3995,1835,1839,"<5",60
"Toyota",750000,2014,126,"Diesel","Manual","First","Individual",2494,100,200,"RWD",4585,1760,1760,"<5",55
"Audi",1850000,2015,71.7,"Diesel","Automatic","Second","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Mahindra",850000,2016,114,"Diesel","Manual","First","Individual",2179,138,330,"FWD",4585,1890,1785,"<5",70
"Hyundai",535000,2016,58.339,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3985,1734,1505,"5",45
"Maruti Suzuki",770000,2019,72.04,"Diesel","Automatic","First","Individual",1248,74,190,"FWD",3995,1735,1515,"5",37
"BMW",3650000,2019,6,"Petrol","Automatic","First","Individual",1998,248,350,"RWD",4633,1811,1429,"5",57
"Kia",1195000,2022,6.2,"Petrol","Manual","First","Individual",998,118,172,"FWD",3995,1790,1647,"5",45
"Mercedes-Benz",1650000,2012,44,"Petrol","Automatic","Third or more","Individual",5461,368,505,"RWD",5226,2120,1479,"5",90
"Skoda",3199000,2021,6.9,"Petrol","Automatic","First","Individual",1798,177,250,"FWD",4861,1864,1483,"5",66
"Mercedes-Benz",7100000,2022,2.5,"Petrol","Automatic","First","Individual",1991,194,300,"RWD",5063,1860,1494,"5",80
"Volkswagen",625000,2016,68,"Petrol","Automatic","First","Individual",1197,103,175,"FWD",3971,1682,1469,"5",45
"Maruti Suzuki",745000,2018,36,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Hyundai",551000,2021,19,"Petrol","Manual","First","Individual",1086,68,99,"FWD",3610,1645,1560,"5",35
"Mercedes-Benz",5950000,2019,10,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",5063,1860,1494,"5",80
"Land Rover",2.2e+07,2019,35,"Diesel","Automatic","First","Individual",2993,244,600,"AWD",4999,2220,1835,"5",105
"MINI",3300000,2019,6.4,"Diesel","Automatic","First","Individual",1496,114,270,"FWD",3821,1727,1414,"5",44
"Ford",3250000,2019,34,"Diesel","Automatic","First","Individual",3198,197,470,"AWD",4903,1869,1837,"<5",80
"Renault",690000,2016,35,"Diesel","Automatic","Second","Individual",1461,108,248,"FWD",4315,1822,1695,"5",50
"Maruti Suzuki",894999,2019,46,"Diesel","Automatic","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Skoda",550000,2016,83,"Diesel","Manual","First","Individual",1598,105,250,"FWD",4386,1699,1466,"5",55
"Ford",399000,2013,54,"Diesel","Manual","Third or more","Individual",1498,89,204,"FWD",3999,1765,1708,"5",52
"Kia",1275000,2020,42,"Petrol","Manual","First","Individual",1497,113,144,"FWD",4315,1800,1645,"5",50
"Maruti Suzuki",535000,2020,41.441,"Petrol","Manual","First","Individual",1196,73,101,"RWD",3675,1475,1800,"5",40
"Maruti Suzuki",825000,2018,48.174,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Ford",585000,2016,62.591,"Diesel","Manual","First","Individual",1498,99,205,"FWD",3998,1765,1647,"5",52
"Honda",675000,2017,48.65,"Petrol","Automatic","First","Individual",1199,89,110,"FWD",3955,1694,1544,"5",40
"Maruti Suzuki",795000,2017,52.245,"Diesel","Manual","First","Individual",1248,89,200,"FWD",4300,1785,1595,"5",48
"Mercedes-Benz",6500000,2021,7.5,"Petrol","Automatic","First","Individual",1991,194,300,"RWD",5063,1860,1494,"5",80
"Hyundai",611000,2017,65,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3985,1734,1505,"5",45
"Maruti Suzuki",390000,2015,43.297,"Petrol","Manual","First","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"Maruti Suzuki",650000,2019,44.71,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"Renault",390000,2013,62,"Diesel","Manual","First","Individual",1461,108,240,"FWD",4618,1813,1488,"5",67
"Audi",2400000,2017,59.267,"Diesel","Automatic","First","Individual",1968,188,400,"FWD",4726,1842,1427,"5",54
"Maruti Suzuki",385000,2011,69,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3850,1695,1530,"5",42
"Maruti Suzuki",450000,2017,75,"Petrol","Manual","First","Commercial Registration",1197,83,115,"FWD",3995,1695,1555,"5",42
"Hyundai",649000,2020,52.236,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Skoda",3499000,2020,47,"Diesel","Automatic","First","Individual",1693,130,246,"FWD",4697,1882,1665,"<5",63
"Audi",2900000,2019,15.53,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4456,1796,1416,"5",50
"Maruti Suzuki",4e+05,2014,64,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Hyundai",599000,2020,35,"Petrol","Automatic","First","Individual",1197,82,114,"FWD",3805,1680,1520,"5",37
"Toyota",2980000,2019,92,"Diesel","Manual","First","Individual",2755,174,420,"RWD",4795,1855,1835,"<5",80
"Audi",3500000,2018,18,"Petrol","Automatic","First","Individual",1395,148,250,"FWD",4726,1842,1427,"5",54
"Honda",4e+05,2016,50,"Petrol","Manual","First","Individual",1199,89,110,"FWD",3955,1694,1544,"5",40
"Mercedes-Benz",6975000,2022,2,"Petrol","Automatic","First","Individual",1991,194,320,"RWD",4658,1890,1644,"5",66
"Mercedes-Benz",5400000,2016,16,"Diesel","Automatic","First","Individual",2143,201,500,"AWD",4819,2141,1796,"5",93
"Mercedes-Benz",3700000,2015,103.89,"Diesel","Automatic","Second","Individual",2987,258,619,"AWD",5120,1934,1850,"<5",100
"Maruti Suzuki",445000,2018,71,"Petrol","Manual","First","Individual",998,67,90,"FWD",3600,1600,1560,"5",35
"Mahindra",1475000,2021,12,"Diesel","Manual","First","Individual",2184,130,300,"AWD",3985,1820,1844,">5",57
"Toyota",2800000,2016,93,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Hyundai",190000,2013,63,"Petrol","Manual","Second","Individual",814,56,75,"FWD",3495,1550,1500,"5",32
"Maruti Suzuki",6e+05,2020,10,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"Kia",1835000,2020,33.828,"Diesel","Automatic","First","Individual",1493,114,250,"FWD",4315,1800,1645,"5",50
"Maruti Suzuki",550000,2019,48,"Other","Manual","First","Individual",998,58,78,"FWD",3655,1620,1675,"5",60
"Maruti Suzuki",715000,2017,71,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Mahindra",2540000,2022,18,"Diesel","Automatic","First","Individual",2184,182,450,"FWD",4695,1890,1755,"<5",60
"Maruti Suzuki",525000,2019,50,"Other","Manual","First","Individual",998,58,78,"FWD",3655,1620,1675,"5",60
"Hyundai",425000,2015,48,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Hyundai",795000,2022,4,"Petrol","Automatic","First","Individual",1197,87,115,"FWD",3995,1775,1505,"5",37
"Honda",269000,2010,73,"Petrol","Manual","Second","Individual",1497,118,146,"FWD",4420,1695,1480,"5",42
"Toyota",1450000,2013,170.669,"Diesel","Automatic","First","Individual",2982,171,343,"FWD",4705,1840,1850,"<5",80
"Hyundai",565000,2014,68,"Diesel","Manual","First","Individual",1582,128,260,"FWD",4370,1700,1475,"5",43
"BMW",2550000,2015,70,"Diesel","Automatic","Second","Individual",1995,190,400,"RWD",4899,2094,1464,"5",65
"Hyundai",529000,2015,57.654,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3995,1760,1555,"5",45
"Maruti Suzuki",4e+05,2019,22,"Petrol","Manual","First","Individual",998,67,90,"FWD",3545,1490,1475,"5",35
"Maruti Suzuki",975000,2019,41.792,"Petrol","Manual","First","Individual",1462,103,138,"FWD",4445,1775,1700,"<5",45
"BMW",2600000,2017,41,"Diesel","Automatic","First","Individual",1995,188,400,"FWD",4439,1821,1612,"5",51
"Mercedes-Benz",2390000,2013,107.021,"Diesel","Automatic","Second","Individual",2987,258,619,"AWD",5120,1934,1850,"<5",100
"Kia",1550000,2019,17,"Petrol","Manual","First","Individual",1353,138,242,"FWD",4315,1800,1645,"5",50
"Maruti Suzuki",430000,2019,57.993,"Petrol","Automatic","First","Individual",998,67,90,"FWD",3545,1490,1475,"5",35
"Tata",1275000,2021,18,"Other","Automatic","First","Individual",1693,130,246,"FWD",3993,1677,1532,"5",52
"Maruti Suzuki",6e+05,2018,32,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Toyota",1650000,2018,25.914,"Petrol","Automatic","First","Corporate",1798,138,173,"FWD",4620,1775,1475,"5",55
"Audi",9400000,2022,4.5,"Petrol","Automatic","First","Individual",2995,335,500,"AWD",5064,1970,1703,"<5",85
"Maruti Suzuki",250000,2014,114,"Petrol","Manual","Second","Individual",998,67,90,"FWD",3620,1475,1460,"5",35
"Mahindra",994999,2016,105,"Diesel","Automatic","Second","Individual",2179,138,330,"FWD",4585,1890,1785,"<5",70
"Maruti Suzuki",675000,2016,45,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Maruti Suzuki",455000,2014,30.183,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3995,1695,1555,"5",42
"Maruti Suzuki",345000,2016,73.19,"Petrol","Manual","Second","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"BMW",4700000,2022,13.12,"Petrol","Automatic","First","Individual",1998,189,280,"FWD",4447,1821,1598,"5",51
"Hyundai",7e+05,2014,64,"Petrol","Manual","First","Individual",1797,147,177,"FWD",4530,1775,1470,"5",56
"Honda",499000,2014,140,"Diesel","Manual","First","Individual",1498,99,200,"FWD",4440,1695,1495,"5",40
"Maruti Suzuki",590000,2015,39,"Petrol","Manual","First","Individual",1373,91,130,"FWD",4490,1730,1485,"5",43
"Nissan",490000,2014,56.918,"Petrol","Automatic","Second","Individual",1198,76,104,"FWD",3825,1665,1530,"5",41
"Maruti Suzuki",695000,2018,55,"Diesel","Automatic","First","Individual",1248,74,190,"FWD",3995,1735,1515,"5",37
"Hyundai",1025000,2019,42,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3995,1770,1605,"5",45
"Volkswagen",3375000,2021,25,"Petrol","Automatic","First","Individual",1984,188,320,"AWD",4701,1839,1674,"<5",60
"Toyota",2250000,2019,28,"Diesel","Manual","First","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Mercedes-Benz",2650000,2018,43,"Diesel","Automatic","Second","Individual",2143,134,300,"FWD",4424,1804,1494,"5",50
"Maruti Suzuki",715000,2021,16,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Hyundai",1200000,2019,27.657,"Diesel","Automatic","Second","Individual",1582,126,260,"FWD",4270,1780,1665,"5",55
"Hyundai",275000,2012,30,"Petrol","Manual","First","Individual",998,68,94,"FWD",3515,1500,1510,"5",32
"Honda",445000,2012,111,"Petrol","Manual","First","Individual",1497,116,146,"FWD",4440,1695,1485,"5",42
"Mercedes-Benz",1850000,2016,37.6,"Diesel","Automatic","First","Individual",2143,134,300,"FWD",4299,1780,1433,">5",50
"Maruti Suzuki",665000,2017,48,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1745,1500,"5",37
"Hyundai",1090000,2019,37,"Diesel","Manual","First","Individual",1396,89,220,"FWD",4270,1780,1665,"5",55
"Mercedes-Benz",5500000,2015,54,"Diesel","Automatic","First","Individual",2987,255,620,"RWD",5246,1899,1494,"5",70
"Audi",2400000,2017,81.802,"Diesel","Automatic","Second","Individual",1968,190,400,"FWD",4933,1874,1455,"5",75
"Hyundai",1085000,2018,45.915,"Diesel","Automatic","First","Individual",1582,126,260,"FWD",4440,1729,1475,"5",45
"Hyundai",2140000,2021,24,"Petrol","Automatic","First","Individual",1999,157,191,"FWD",4500,1790,1675,"<5",50
"Honda",795000,2019,22.224,"Petrol","Automatic","First","Individual",1199,89,110,"FWD",3995,1695,1501,"5",35
"Maruti Suzuki",1080000,2021,38,"Other","Manual","First","Individual",1373,94,130,"FWD",4296,1695,1685,"<5",45
"Honda",628000,2018,53.848,"Petrol","Manual","First","Individual",1199,89,110,"FWD",3995,1695,1501,"5",35
"BMW",1550000,2013,104.264,"Diesel","Automatic","Second","Individual",1995,188,400,"RWD",4633,1811,1429,"5",57
"Mercedes-Benz",2400000,2016,61.159,"Petrol","Automatic","Second","Individual",1991,184,300,"RWD",4879,1854,1474,"5",80
"Honda",595000,2015,72,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Land Rover",3450000,2016,29,"Diesel","Automatic","First","Individual",2179,188,420,"AWD",4465,1900,1635,"5",57
"Honda",819999,2018,42,"Petrol","Manual","First","Individual",1199,89,110,"FWD",3999,1734,1601,"5",40
"Audi",1490000,2012,40,"Diesel","Automatic","First","Individual",1968,174,380,"AWD",4629,1898,1653,"5",75
"Mahindra",950000,2020,57.4,"Diesel","Manual","First","Individual",1497,115,300,"FWD",3995,1821,1627,"5",42
